CODIGO;CODIGO EQUIVALENTE;LOCALIZAÇÃO;QUANTIDADE;;FORNECEDOR;FAMILIA;OBSER;;;ENTRADA;SAIDA;
CODIGO;CODIGO EQUIVALENTE;LOCALIZAÇAO;QUANTIDADE;QTD;FORNECEDOR;FAMILIA;OBSER;Coluna9;DESCRICAO;ENTRADA;SAIDA;O
1585J-M8CBJM0M6;1585J-M8CBJM0M6;F;0;0;ALLEN BRADLEY;;;#N/D;;0;0;
1585J-M8CBJM-1;1585J-M8CBJM-1;F 16;1;0;ALLEN BRADLEY;;;#N/D;;2;1;
1585J-M8CBJM-2;1585J-M8CBJM-2;F 16;0;0;ALLEN BRADLEY;;;#N/D;;4;4;
1585J-M8CBJM-3;1585J-M8CBJM-3;F 16;0;0;ALLEN BRADLEY;;;#N/D;;5;5;
1585J-M8CBJM-4;1585J-M8CBJM-4;F 16;0;0;ALLEN BRADLEY;;;#N/D;;5;5;
1585J-M8CBJM-5;1585J-M8CBJM-5;;3;0;ALLEN BRADLEY;;;;;3;0;
1585J-M8CCC;1585J-M8CCC;F;650;0;ALLEN BRADLEY;;;#N/D;;650;0;
1585J-M8HBJM5;1585J-M8HBJM5;F;0;;ALLEN BRADLEY;;;#N/D;;0;0;
1585J-M8PBJM3;1585J-M8PBJM3;F;0;0;ALLEN BRADLEY;;;#N/D;;0;0;
1585J-M8PBJM5;1585J-M8PBJM5;F;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1585J-M8TBJM1M9;1585J-M8TBJM1M9;F;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1606XL120DR;1606XL120DR;F 14;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1606XL120E3;1606XL120E3;F 14;1;0;ALLEN BRADLEY;;PÇ CX. TROCADA;#N/D;;1;0;
